,Statement Description,topics,label,0,1,2,3,4,5,6,7,8,
0,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ",encryption decryption,1,0,1,0,0,0,0,0,0,0,
1,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ",sender authentication,1,0,1,0,0,0,0,0,0,0,
2,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ",data integrity,1,0,1,0,0,0,0,0,0,0,
3,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ",non repudiation,1,0,1,0,0,0,0,0,0,0,
4,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ","attack classification (ciphertext only, known plaintext, chosen plaintext, chosen ciphertext)",1,0,1,0,0,0,0,0,0,0,
5,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ",secret key (symmetric) cryptography,1,0,1,0,0,0,0,0,0,0,
6,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ",public key (asymmetric) cryptography,1,0,1,0,0,0,0,0,0,0,
7,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ","information theoretic security (one time pad, shannon theorem)",1,0,1,0,0,0,0,0,0,0,
8,"this topic covers basic concepts in cryptography to  build the base for other sections in the knowledge  unit. this topic includes: ● encryption/decryption, sender authentication,  data integrity, non-repudiation, ● attack classification (ciphertext-only, known  plaintext, chosen plaintext, chosen ciphertext),  ● secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  ● information-theoretic security (one-time pad,  shannon theorem), and • computational security ",computational security,1,0,1,0,0,0,0,0,0,0,
9,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ",advanced protocols  ,1,0,1,0,0,0,0,0,0,0,
10,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","zero knowledge proofs, and protocols,  ",1,0,1,0,0,0,0,0,0,0,
11,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","secret sharing,  ",1,0,1,0,0,0,0,0,0,0,
12,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","commitment,  ",1,0,1,0,0,0,0,0,0,0,
13,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","oblivious transfer,  ",1,0,1,0,0,0,0,0,0,0,
14,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","secure multiparty computation,  ",1,0,1,0,0,0,0,0,0,0,
15,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ",advanced recent developments  ,1,0,1,0,0,0,0,0,0,0,
16,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","lly homomorphic encryption,  ",1,0,1,0,0,0,0,0,0,0,
17,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","fuscation,  ",1,0,1,0,0,0,0,0,0,0,
18,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ","antum cryptography,  ",1,0,1,0,0,0,0,0,0,0,
19,"this topic includes: ● advanced protocols: o zero-knowledge proofs, and protocols,  o secret sharing, o commitment,  o oblivious transfer,  o secure multiparty computation, ● advanced recent developments: fully  homomorphic encryption, obfuscation, quantum  cryptography, and kljn scheme. ",jn scheme.,1,0,1,0,0,0,0,0,0,0,
20,"this topic is essential in understanding encryption  algorithms. more advanced concepts may be included,  if needed. this topic includes: ● modular arithmetic,  ● fermat, euler theorems,  ● primitive roots, discrete log problem,  ● primality testing, factoring large integers,  ● elliptic curves, lattices and hard lattice problems,  ● abstract algebra, finite fields, and ● information theory. ",modular arithmetic,1,0,1,0,0,0,0,0,0,0,
21,"this topic is essential in understanding encryption  algorithms. more advanced concepts may be included,  if needed. this topic includes: ● modular arithmetic,  ● fermat, euler theorems,  ● primitive roots, discrete log problem,  ● primality testing, factoring large integers,  ● elliptic curves, lattices and hard lattice problems,  ● abstract algebra, finite fields, and ● information theory. ",fermat theorems,1,0,1,0,0,0,0,0,0,0,
